player,shot,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Anukul Roy,Push,1,3,3,2,1,0,2,1,33.33,66.67,33.33,0.0,66.67
Anukul Roy,Steered,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Anukul Roy,Ramp,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Arshad Khan,Flick,7,3,3,3,0,1,0,0,233.33,100.0,0.0,33.33,0.0
Arshad Khan,Pull,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Arshad Khan,Cut Shot,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Arshdeep Singh,Pull,1,1,1,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
Ashok Sharma,Flick,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Ashok Sharma,Defended,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Ashok Sharma,Push,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Ashok Sharma,Slog Shot,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Ashutosh Sharma,Unknown,33,21,1,0,1,5,9,2,157.14,0.0,100.0,23.81,42.86
Ashutosh Sharma,Square Drive,7,3,3,3,0,1,0,0,233.33,100.0,0.0,33.33,0.0
Ashutosh Sharma,Cover Drive,6,3,3,3,0,1,0,0,200.0,100.0,0.0,33.33,0.0
Ashutosh Sharma,Flick,6,3,3,2,1,1,0,0,200.0,66.67,33.33,33.33,0.0
Ashutosh Sharma,Paddle Sweep,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Ashutosh Sharma,On Drive,2,2,2,0,2,0,0,0,100.0,0.0,100.0,0.0,0.0
Ashutosh Sharma,Hook,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Ashutosh Sharma,Push,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Ashwani Kumar,On Drive,1,4,4,4,0,0,3,0,25.0,100.0,0.0,0.0,75.0
Ashwani Kumar,Cover Drive,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Ashwani Kumar,Pull,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Auqib Nabi,Unknown,4,2,0,0,0,1,1,1,200.0,,,50.0,50.0
Avesh Khan,Slog Shot,4,2,2,1,1,1,1,0,200.0,50.0,50.0,50.0,50.0
Avesh Khan,Unknown,1,2,0,0,0,0,1,1,50.0,,,0.0,50.0
Avesh Khan,Flick,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Avesh Khan,Pull,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Axar Patel,Flick,5,7,7,5,2,0,2,1,71.43,71.43,28.57,0.0,28.57
Axar Patel,Cut Shot,5,2,2,2,0,1,0,0,250.0,100.0,0.0,50.0,0.0
Axar Patel,Unknown,4,6,1,1,0,0,2,2,66.67,100.0,0.0,0.0,33.33
Axar Patel,Steered,4,2,2,0,2,1,1,0,200.0,0.0,100.0,50.0,50.0
Axar Patel,Upper Cut,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Axar Patel,On Drive,3,3,3,2,1,0,1,0,100.0,66.67,33.33,0.0,33.33
Axar Patel,Square Drive,3,2,2,2,0,0,0,0,150.0,100.0,0.0,0.0,0.0
Axar Patel,Push,2,3,3,2,1,0,1,1,66.67,66.67,33.33,0.0,33.33
Axar Patel,Cover Drive,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Axar Patel,Defended,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Axar Patel,Left Alone,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Axar Patel,Paddle Sweep,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Axar Patel,Slog Shot,0,1,1,0,1,0,1,1,0.0,0.0,100.0,0.0,100.0
Ayush Badoni,Unknown,48,27,3,2,1,7,7,1,177.78,66.67,33.33,25.93,25.93
Ayush Badoni,Cover Drive,25,14,14,8,6,5,7,1,178.57,57.14,42.86,35.71,50.0
Ayush Badoni,Square Drive,19,7,7,7,0,4,0,0,271.43,100.0,0.0,57.14,0.0
Ayush Badoni,Flick,17,17,17,13,4,0,4,1,100.0,76.47,23.53,0.0,23.53
Ayush Badoni,On Drive,15,12,12,8,4,2,5,3,125.0,66.67,33.33,16.67,41.67
Ayush Badoni,Cut Shot,14,13,13,11,2,1,3,0,107.69,84.62,15.38,7.69,23.08
Ayush Badoni,Slog Shot,10,2,2,2,0,2,0,0,500.0,100.0,0.0,100.0,0.0
Ayush Badoni,Pull,9,6,6,3,3,1,2,2,150.0,50.0,50.0,16.67,33.33
Ayush Badoni,Sweep Shot,7,4,4,4,0,1,0,0,175.0,100.0,0.0,25.0,0.0
Ayush Badoni,Upper Cut,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Ayush Badoni,Dab,2,4,4,3,1,0,2,0,50.0,75.0,25.0,0.0,50.0
Ayush Badoni,Push,1,3,3,3,0,0,2,0,33.33,100.0,0.0,0.0,66.67
Ayush Badoni,Steered,1,2,2,2,0,0,1,0,50.0,100.0,0.0,0.0,50.0
Ayush Badoni,Defended,0,8,8,6,2,0,8,0,0.0,75.0,25.0,0.0,100.0
Ayush Badoni,Left Alone,0,2,2,2,0,0,2,0,0.0,100.0,0.0,0.0,100.0
Ayush Mhatre,Unknown,89,49,0,0,0,13,11,1,181.63,,,26.53,22.45
Ayush Mhatre,Pull,34,12,12,7,5,5,3,1,283.33,58.33,41.67,41.67,25.0
Ayush Mhatre,On Drive,24,10,10,8,2,5,3,0,240.0,80.0,20.0,50.0,30.0
Ayush Mhatre,Cover Drive,15,9,9,7,2,2,2,0,166.67,77.78,22.22,22.22,22.22
Ayush Mhatre,Slog Shot,11,6,6,3,3,2,3,1,183.33,50.0,50.0,33.33,50.0
Ayush Mhatre,Flick,10,7,7,4,3,2,3,0,142.86,57.14,42.86,28.57,42.86
Ayush Mhatre,Straight Drive,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Ayush Mhatre,Steered,5,4,4,2,2,1,2,0,125.0,50.0,50.0,25.0,50.0
Ayush Mhatre,Square Drive,5,3,3,2,1,1,1,1,166.67,66.67,33.33,33.33,33.33
Ayush Mhatre,Push,1,4,4,4,0,0,3,0,25.0,100.0,0.0,0.0,75.0
Ayush Mhatre,Slog Sweep,1,2,2,0,2,0,1,0,50.0,0.0,100.0,0.0,50.0
Ayush Mhatre,Defended,0,4,4,3,1,0,4,0,0.0,75.0,25.0,0.0,100.0
Ayush Mhatre,Hook,0,2,2,0,2,0,2,1,0.0,0.0,100.0,0.0,100.0
