season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,own_15_ball_phase,phase_label,runs,balls,expected_runs,runs_above_expected,innings_runs,strike_rate,expected_sr,runs_above_expected_per_100,player_innings_ball_range
2026,2026,1527686,2026-04-07,"Barsapara Cricket Stadium, Guwahati",2,Mumbai Indians,Rajasthan Royals,Trent Boult,1,1-15,1,2,2.15,-1.15,1,50.0,107.29,-57.29,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Glenn Phillips,1,1-15,14,9,15.3,-1.3,14,155.56,170.01,-14.45,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Jos Buttler,1,1-15,41,15,20.46,20.54,41,273.33,136.39,136.95,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Jos Buttler,2,16-30,11,12,19.02,-8.02,11,91.67,158.52,-66.86,16-30
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Rahul Tewatia,1,1-15,1,1,1.6,-0.6,1,100.0,159.66,-59.66,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Sai Sudharsan,1,1-15,12,7,8.82,3.18,12,171.43,126.01,45.42,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Shubman Gill,1,1-15,16,15,19.44,-3.44,16,106.67,129.61,-22.94,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Shubman Gill,2,16-30,28,15,22.45,5.55,28,186.67,149.69,36.98,16-30
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Shubman Gill,3,31-45,26,15,26.4,-0.4,26,173.33,175.97,-2.64,31-45
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Washington Sundar,1,1-15,31,15,19.92,11.08,31,206.67,132.8,73.87,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Washington Sundar,2,16-30,20,15,26.65,-6.65,20,133.33,177.69,-44.36,16-30
